index,name,active_fla,address_st,activity,activity_l,program__1,mpca_id_li,industrial,shape,geometry
6647,Minneapolis Lime Waste Storage Facility,Y,36th Ave & Marshall St NE,Site Assessment,Site Assessment,Investigation and Cleanup,SA0007728,,0101000020E61000004B8BE187D65157C02D61E953F9834640,POINT (478044.64319188165 4986436.8730577845)
6648,"Bureau of Engraving, Inc.",Y,3400 Technology Dr,Industrial Stormwater,Industrial Stormwater,Stormwater,MNRNE335J,,0101000020E610000019FF3EE3C25157C032207BBDFB834640,POINT (478139.1133186516 4986444.726887904)
6649,"Bureau of Engraving, Inc.",Y,3400 Technology Dr,Industrial Stormwater,Industrial Stormwater,Stormwater,MNRNE36RM,,0101000020E610000019FF3EE3C25157C032207BBDFB834640,POINT (478139.1133186516 4986444.726887904)
6650,Bell Manufacturing,N,3400 Marshall St NE,Multiple Activities,"Air Quality; Hazardous Waste, Very small quantity generator; Industrial Stormwater",Air Quality; Hazardous Waste; Stormwater,05300808; A00008280; MNR000005017,Commercial Printing (except Screen and Books) ; Furniture and Related Product Manufacturing,0101000020E610000086A460D7C05157C014ED2AA4FC834640,POINT (478148.9624756693 4986447.748087511)
6651,Minneapolis-Lime,Y,3660 Technology Dr,Multiple Activities,"Aboveground Tanks; Brownfields, Voluntary Investigation and Cleanup",Investigation and Cleanup; Tanks,TS0055362; VP32620; VP32621; VP5280,,0101000020E61000003AF0E680CF5157C07260A4DD09844640,POINT (478078.62228152936 4986492.822967605)
6652,Honeywell Camden Site,Y,3660 Technology Dr,"Brownfields, Voluntary Investigation and Cleanup","Brownfields, Voluntary Investigation and Cleanup",Investigation and Cleanup,VP5281,,0101000020E6100000D4B837BFE15157C0C9CA2F8331844640,POINT (477991.3743615978 4986627.53280812)
6653,Penske Truck Leasing Co LP - Minneapolis,Y,3601 East River Road,"Hazardous Waste, Very small quantity generator","Hazardous Waste, Very small quantity generator",Hazardous Waste,MNS000329016,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing",0101000020E6100000576ED4D0A75157C04AB4E4F134844640,POINT (478269.9331470862 4986638.2140181465)
6654,Honeywell Technology Center - Camden,Y,3660 Technology Dr,Hazardous Waste,Hazardous Waste,Hazardous Waste,MND981102213,"Research and Development in the Physical, Engineering, and Life Sciences",0101000020E6100000E8323509DE5157C0041DAD6A49844640,POINT (478009.4952836255 4986708.510024982)
6655,Honeywell Camden Site #4,Y,3660 Technology Dr,"Brownfields, Voluntary Investigation and Cleanup","Brownfields, Voluntary Investigation and Cleanup",Investigation and Cleanup,VP5283,,0101000020E6100000625D26D4DD5157C0E6229D054A844640,POINT (478010.498790193 4986710.558385953)
6656,Pillsbury (Leased From F&R Inc),N,03615 Marshall ST NE,Underground Tanks,Underground Tanks,Tanks,TS0019560,,0101000020E610000026FBE769C05157C0ED5921F653844640,POINT (478152.0326306141 4986743.76859767)
6657,4401 Lyndale Contractor Yard,Y,4401 Lyndale Ave N,Multiple Activities,Air Quality; Industrial Stormwater,Air Quality; Stormwater,AQ-gen; MNR053CVB; MNRNE3F23,,0101000020E61000002FC37FBA815257C06D1CB1169F844640,POINT (477223.54874403455 4987001.712736196)
6658,4401 Lyndale,Y,4401 Lyndale Ave N,Industrial Stormwater,Industrial Stormwater,Stormwater,MNR0537Y5,,0101000020E61000002FC37FBA815257C06D1CB1169F844640,POINT (477223.54874403455 4987001.712736196)
6659,Hirshfield's Paint Manufacturing,Y,4450 Lyndale Ave N,Multiple Activities,"Aboveground Tanks; Hazardous Waste, Small quantity generator; Industrial Stormwater",Hazardous Waste; Stormwater; Tanks,MND103709879; MNRNE356M; MNRNE3CH3; TS0122595,Paint and Coating Manufacturing,0101000020E6100000AEF87E515F5257C00CF392BDAD844640,POINT (477389.150968404 4987050.795872463)
6660,Lyndale Commons,Y,4500 N Lyndale Ave,Multiple Activities,Hazardous Waste; Underground Tanks,Hazardous Waste; Tanks,MNR000079475; TS0124921,Lessors of Nonresidential Buildings (except Miniwarehouses),0101000020E61000003AD5100B6B5257C0932A9B83B1844640,POINT (477332.82978617924 4987063.788941325)
6661,Milan's Motor,N,616 45th Ave N,Hazardous Waste,Hazardous Waste,Hazardous Waste,MND985705714,New Car Dealers,0101000020E6100000780888EE7E5257C021C5A5CFB3844640,POINT (477237.24483822123 4987071.916877496)
6662,Winner on Lyndale,Y,4501 Lyndale Ave N,"Hazardous Waste, Very small quantity generator","Hazardous Waste, Very small quantity generator",Hazardous Waste,MN0000875922,Gasoline Stations with Convenience Stores,0101000020E610000068D4D74E6F5257C0078E1546C4844640,POINT (477312.5535630451 4987127.459852247)
6663,Lyn Stop,Y,4501 Lyndale Ave N,Multiple Activities,"Petroleum Remediation, Leak Site; Underground Tanks",Investigation and Cleanup; Tanks,LS0000521; LS0016765; TS0002634,,0101000020E610000020F763496F5257C0424AA24DC4844640,POINT (477312.65631216933 4987127.559467236)
6664,Milans of Camden,Y,4535 Lyndale Ave N,Multiple Activities,"Hazardous Waste; Petroleum Remediation, Leak Site; Underground Tanks",Hazardous Waste; Investigation and Cleanup; Tanks,LS0009685; MND022931034; TS0021146,New Car Dealers,0101000020E61000001A790F86705257C0CAC51858C7844640,POINT (477306.74630945444 4987137.889615775)
6665,Safe T Flare Div Ebs Ent,N,4539 Lyndale Ave N,Hazardous Waste,Hazardous Waste,Hazardous Waste,MND982627663,,0101000020E6100000C0E556AD715257C0876EF607CA844640,POINT (477301.23375083524 4987147.01858735)
6666,Impact Mailing - Lyndale,Y,4600 Lyndale Ave N,Multiple Activities,"Brownfields, Voluntary Investigation and Cleanup; Construction Stormwater; Hazardous Waste, Very small quantity generator; Petroleum Remediation, Leak Site; Underground Tanks",Hazardous Waste; Investigation and Cleanup; Stormwater; Tanks,C00025179; LS0004138; LS0017514; MNT280011008; TS0001600; VP9000,Directory and Mailing List Publishers,0101000020E610000085143414545257C0568A5738CD844640,POINT (477443.56134940323 4987157.324668632)
6667,Keystone Automotive Industries,Y,3621 Marshall St NE,Hazardous Waste,Hazardous Waste,Hazardous Waste,MNS000103713,"Paint, Varnish, and Supplies Merchant Wholesalers",0101000020E6100000C768780EC05157C04A3C45B357844640,POINT (478153.793214264 4986756.437868615)
6668,"Permitted Leaf Disposal Site, Henn Co",Y,See location description,Site Assessment,Site Assessment,Investigation and Cleanup,SA0007707,,0101000020E61000009BE0FED0CA5157C0A127E98A67844640,POINT (478102.24788282154 4986810.323098259)
6669,Vacant Property,Y,3641 Marshall St NE,"Brownfields, Voluntary Investigation and Cleanup","Brownfields, Voluntary Investigation and Cleanup",Investigation and Cleanup,VP6770,,0101000020E61000007A7D9C1FB55157C070A653686A844640,POINT (478206.5723055304 4986819.678202318)
6670,Honeywell Camden Site #3,Y,3660 Technology Dr,"Brownfields, Voluntary Investigation and Cleanup","Brownfields, Voluntary Investigation and Cleanup",Investigation and Cleanup,VP5282,,0101000020E610000030B3F8E2C55157C044BECFE16F844640,POINT (478126.04537407454 4986838.513674171)
6671,Fantom Wire,Y,36 37th Ave NE,Multiple Activities,"Brownfields, Petroleum Brownfield and Voluntary Investigation and Cleanup; Hazardous Waste; Underground Tanks",Hazardous Waste; Investigation and Cleanup; Tanks,BF0000985; MNR000107003; TS0119368,,0101000020E610000095D14C20BA5157C097D910B17B844640,POINT (478182.7217925993 4986878.356117543)
6672,proposed Impact Mailing Addition,Y,4500 N Lyndale Ave,Multiple Activities,"Brownfields, Petroleum Brownfield; Brownfields, Voluntary Investigation and Cleanup",Investigation and Cleanup,PB3730; VP24700,,0101000020E610000041953F845D5257C036E7E099D0844640,POINT (477398.2316853789 4987168.9474348435)
6673,Camden Motel,Y,4651 Lyndale Ave N,Hazardous Waste,Hazardous Waste,Hazardous Waste,MNS000117143,,0101000020E6100000C718B380645257C0AC600AC50C854640,POINT (477365.3710148424 4987373.046764961)
6674,Camden Care Center,Y,4659 Lyndale Ave N,"Brownfields, Petroleum Brownfield","Brownfields, Petroleum Brownfield",Investigation and Cleanup,PB3751,,0101000020E61000004A11740F645257C098E3704111854640,POINT (477367.55154975055 4987388.247193701)
6675,Rainville Carlson Inc,Y,4640 Lyndale Ave N,Multiple Activities,"Aboveground Tanks; Brownfields, Petroleum Brownfield; Hazardous Waste; Industrial Stormwater; Petroleum Remediation, Leak Site; Site Assessment",Hazardous Waste; Investigation and Cleanup; Stormwater; Tanks,A00002576; BF0000143; LS0002934; MND985678580; SA0003153; TS0055846,Roofing Contractors ; Drywall and Insulation Contractors ; Sheet Metal Work Manufacturing ; School and Employee Bus Transportation,0101000020E61000007AEDA907525257C073F98BB013854640,POINT (477454.25633482105 4987396.191693863)
6676,MTN Bus Terminal,Y,4640 Lyndale Ave.,Construction Stormwater,Construction Stormwater,Stormwater,C00046844,,0101000020E6100000AEF545425B5257C06D72F8A413854640,POINT (477409.890610001 4987396.195452559)
6677,SSJS Inc dba Warning Lites of MN,Y,4700 Lyndale Ave N,Multiple Activities,"Aboveground Tanks; Hazardous Waste, Very small quantity generator",Hazardous Waste; Tanks,MND985673557; TS0055208,Marketing Research and Public Opinion Polling,0101000020E6100000BD659824605257C0D2D3916D2A854640,POINT (477386.6859673625 4987473.5183499465)
6678,United Rentals Hwy Technologies,Y,4754 Lyndale Ave N,Hazardous Waste,Hazardous Waste,Hazardous Waste,MN0000004820,,0101000020E6100000ED3488C55E5257C0E949F48D43854640,POINT (477393.580214084 4987558.677442688)
6679,Lens Garage,Y,4835 Lyndale Ave N,Hazardous Waste,Hazardous Waste,Hazardous Waste,MND080252034,"Automotive Body, Paint, and Interior Repair and Maintenance",0101000020E610000091D10149585257C0AF44FBB37A854640,POINT (477425.422870056 4987745.528514575)
6680,Biernat Printing - Lyndale,Y,4831 Lyndale Ave N,Hazardous Waste,Hazardous Waste,Hazardous Waste,MNR000109207,,0101000020E610000018416326515257C03D0D18247D854640,POINT (477459.7505510341 4987753.67210454)
6681,Victory Health and Rehabilitation Center,Y,512 49th Ave N,Multiple Activities,"Hazardous Waste, Small quantity generator; Petroleum Remediation, Leak Site; Underground Tanks",Hazardous Waste; Investigation and Cleanup; Tanks,LS0016850; MNS000166298; TS0001864,Nursing Care Facilities (Skilled Nursing Facilities),0101000020E61000003F1EFAEE565257C011381268B0854640,POINT (477432.56480868754 4987927.568140828)
6682,Bureau of Engraving,N,See PLS,Construction Stormwater,Construction Stormwater,Stormwater,C00001767,,0101000020E610000074B7465F1C5257C0FFCEF6E80D844640,POINT (477709.0966450751 4986507.814692059)
6683,SP 141-262-014 Camden Bridge - Mpls,N,See Location Description,Construction Stormwater,Construction Stormwater,Stormwater,C00029281,,0101000020E61000003CBD5296215257C032772D211F844640,POINT (477684.2278608446 4986566.279179039)
6684,Saint Anthony Parkway Trail,Y,CAMDEN BRIDGE 37TH AVENUE NE,Construction Stormwater,Construction Stormwater,Stormwater,C00061103,,0101000020E6100000F758FAD0055257C006651A4D2E844640,POINT (477817.92370576767 4986617.247090883)
6685,Rehab of Pump Station 4 - Mpls,N,See location description,Construction Stormwater,Construction Stormwater,Stormwater,C00026671,,0101000020E6100000E02D90A0F85157C03FC6DCB584844640,POINT (477882.3499457054 4986909.966196131)
6686,Airco Inc,Y,4652 Lyndale Ave N,Multiple Activities,"Brownfields, Voluntary Investigation and Cleanup; CERCLIS Site; Superfund, State Superfund project",Investigation and Cleanup,MND980414221; SR0001167; VP7760,,0101000020E6100000F64C06B2245257C0E9C7F4BE50854640,POINT (477672.91241538053 4987602.414291855)
6687,Lyndale Avenue Ash & Demolition Dump,Y,See location description,Site Assessment,Site Assessment,Investigation and Cleanup,SA0007637,,0101000020E61000003243FC26415257C08C5DCBF99C854640,POINT (477537.0301727002 4987861.325146377)
6688,N Mississippi Regional Pk,N,See location description,Construction Stormwater,Construction Stormwater,Stormwater,C00003728,,0101000020E6100000E1D617E81E5257C0211E8997A7854640,POINT (477701.7691259089 4987896.737530835)
6689,City of Minneapolis Property,Y,5114 N Mississippi Dr,"Petroleum Remediation, Leak Site","Petroleum Remediation, Leak Site",Investigation and Cleanup,LS0017589,,0101000020E61000003BFC3559235257C02D29D25856864640,POINT (477682.4923761742 4988489.257672646)
6690,Heritage Dental Center - Minneapolis,N,5201 Bryant Ave N,Hazardous Waste,Hazardous Waste,Hazardous Waste,MND982611857,Health Services,0101000020E6100000F88A6EBDA65257C0068195438B864640,POINT (477051.6242904937 4988670.897304379)
6691,Motorscope,Y,5353 France Ave,Aboveground Tanks,Aboveground Tanks,Tanks,TS0052680,,0101000020E6100000CA03ECFE0C5557C0F0FCA204FD734640,POINT (474033.9647540975 4972578.385202902)
6692,Precision Tune Auto Care - Mpls,N,5353 France Ave S,Multiple Activities,"Aboveground Tanks; Hazardous Waste; Petroleum Remediation, Leak Site; Underground Tanks",Hazardous Waste; Investigation and Cleanup; Tanks,LS0001048; MND139254304; TS0001591,"Automotive Body, Paint, and Interior Repair and Maintenance",0101000020E6100000D66F26A60B5557C0F55DB642FD734640,POINT (474040.45725296 4972579.180937873)
6693,Means Painting LLC,Y,5240 Ewing Ave S,Hazardous Waste,Hazardous Waste,Hazardous Waste,MNS000150995,Painting and Wall Covering Contractors,0101000020E61000007A8D5DA2FA5457C093CE1B823E744640,POINT (474123.33482992824 4972800.042656731)
6694,Wipson Posters Inc,Y,3038 Hennepin Ave S,Underground Tanks,Underground Tanks,Tanks,TS0124900,,0101000020E6100000C5D76C1F915457C01511308091744640,POINT (474632.8226106224 4973079.358923921)
6695,Church of Saint Margaret Mary,Y,2323 Zenith Ave N,Underground Tanks,Underground Tanks,Tanks,TS0124924,,0101000020E6100000C5D76C1F915457C01511308091744640,POINT (474632.8226106224 4973079.358923921)
6696,Sherwood Brekke Property,Y,517 thru 519 Oak St SE,"Petroleum Remediation, Leak Site","Petroleum Remediation, Leak Site",Investigation and Cleanup,LS0016742,,0101000020E6100000C5D76C1F915457C01511308091744640,POINT (474632.8226106224 4973079.358923921)
6697,Saint Thomas The Apostle School,Y,2900 2914 W 44th St,Multiple Activities,"Petroleum Remediation, Leak Site; Underground Tanks",Investigation and Cleanup; Tanks,LS0014237; TS0014905,,0101000020E6100000C5D76C1F915457C01511308091744640,POINT (474632.8226106224 4973079.358923921)
6698,Richfield Road Construction Project,N,See location description,Construction Stormwater,Construction Stormwater,Stormwater,C00011438,,0101000020E6100000C5D76C1F915457C01511308091744640,POINT (474632.8226106224 4973079.358923921)
6699,Add/Alts to Minneapolis SW High School,Y,Address Unknown,Construction Stormwater,Construction Stormwater,Stormwater,C00039862,,0101000020E6100000C5D76C1F915457C01511308091744640,POINT (474632.8226106224 4973079.358923921)
6700,Allegro Apartments,Y,4440 Beard Ave S,Multiple Activities,"Petroleum Remediation, Leak Site; Underground Tanks",Investigation and Cleanup; Tanks,LS0019871; TS0126338,,0101000020E6100000C5D76C1F915457C01511308091744640,POINT (474632.8226106224 4973079.358923921)
6701,Holiday Stationstore #50,N,5521 Lakeland,Multiple Activities,"Petroleum Remediation, Leak Site; Underground Tanks",Investigation and Cleanup; Tanks,LS0006210; TS0002861,,0101000020E6100000C5D76C1F915457C01511308091744640,POINT (474632.8226106224 4973079.358923921)
6702,Hinkley Residence,Y,5012 Abbott Ave S,"Petroleum Remediation, Leak Site","Petroleum Remediation, Leak Site",Investigation and Cleanup,LS0021042,,0101000020E6100000BDB4D93FAC5457C0522D7D43BC744640,POINT (474502.705399929 4973224.846699667)
6703,General Sports,N,5025 France Ave S,Hazardous Waste,Hazardous Waste,Hazardous Waste,MNP200000286,,0101000020E6100000D19E81470A5557C0BCC0F6DDBE744640,POINT (474049.7194372336 4973235.491825014)
6704,Kelly Investments Inc,N,5011 Ewing Ave S,Underground Tanks,Underground Tanks,Tanks,TS0013861,,0101000020E610000037EB4262F15457C09BA3D81BC6744640,POINT (474169.7610776704 4973259.556916249)
6705,Englander Dental PA,Y,3801 50th St,"Hazardous Waste, Very small quantity generator","Hazardous Waste, Very small quantity generator",Hazardous Waste,MND985720010,Offices of Dentists,0101000020E6100000035DFB02FA5457C05D1D5B2ACA744640,POINT (474128.24942116404 4973273.477075485)
6706,Edina Tv,N,3811 W 50th St,Hazardous Waste,Hazardous Waste,Hazardous Waste,MND985758473,,0101000020E610000080C3FAF5F95457C02794CF3CCA744640,POINT (474128.4951082268 4973273.720475349)
6707,Nelson Lee S Dds,N,3717 W 50th St,Hazardous Waste,Hazardous Waste,Hazardous Waste,MND985722784,Health Services,0101000020E6100000B8585183E95457C02DAD2B0BCB744640,POINT (474207.74900771095 4973276.133591576)
6708,Old Abandoned Dump,Y,See location description,Site Assessment,Site Assessment,Investigation and Cleanup,SA0007704,,0101000020E61000000F8952AD0B5557C0E5336EA4CB744640,POINT (474043.1611912265 4973278.828042649)
6709,The Bancroft,Y,3500 W 50th St,Construction Stormwater,Construction Stormwater,Stormwater,C00017843,,0101000020E610000011CBC1C7BB5457C04972AF82CE744640,POINT (474428.127260449 4973287.002994267)
6710,David A Cook DDS dba Smiles at France,Y,4999 France Ave S Ste 230,"Hazardous Waste, Very small quantity generator","Hazardous Waste, Very small quantity generator",Hazardous Waste,MNS000131011,Offices of Dentists,0101000020E6100000A0257E7B0D5557C085D21742CE744640,POINT (474034.49934353377 4973287.731258462)
6711,Holiday Stationstore #42,Y,3700 W 50th St,Multiple Activities,"Petroleum Remediation, Leak Site; Underground Tanks",Investigation and Cleanup; Tanks,LS0003449; TS0002146,,0101000020E61000005FCE6C57E85457C0887DA76ED3744640,POINT (474213.50750352547 4973304.548774315)
6712,Kovanda Plastic Surgery,Y,4999 France Ave S Ste 210,Hazardous Waste,Hazardous Waste,Hazardous Waste,MNS000308168,"Cosmetics, Beauty Supplies, and Perfume Stores ; Offices of Physicians (except Mental Health Specialists) ; All Other Outpatient Care Centers",0101000020E6100000D1CC936B0A5557C064CF9ECBD4744640,POINT (474049.34217859263 4973309.83304133)
6713,Wuollet Bakery,Y,3608 50th St W,"Petroleum Remediation, Leak Site","Petroleum Remediation, Leak Site",Investigation and Cleanup,LS0017794,,0101000020E6100000E1C50C9ED35457C057636424D6744640,POINT (474313.38883498235 4973313.3343573855)
6714,Thrifty White (LTCF-HHW) The Waters on 50th,Y,3500 50th St,Multiple Activities,"Construction Stormwater; Hazardous Waste, Minimal quantity generator",Hazardous Waste; Stormwater,C00035265; MNS000326400,Pharmacies and Drug Stores,0101000020E61000000612143FC65457C05B423EE8D9744640,POINT (474377.85843931313 4973325.840070026)
6715,Werness Brothers Funeral Home,Y,3500 W 50th St,"Petroleum Remediation, Leak Site","Petroleum Remediation, Leak Site",Investigation and Cleanup,LS0016328,,0101000020E6100000EC51B81EC55457C01F05BABCDA744640,POINT (474383.2964469889 4973328.632161152)
6716,Werner Bros Funeral Home,N,3500 W 50th St,Underground Tanks,Underground Tanks,Tanks,TS0124158,,0101000020E610000013B534B7C25457C0C5D853BCDB744640,POINT (474394.89361185825 4973331.970620423)
6717,The Waters on 50th,Y,3500 50th St,Multiple Activities,"Brownfields, Petroleum Brownfield; Hazardous Waste, Very small quantity generator",Hazardous Waste; Investigation and Cleanup,MNS000116038; PB4290,Pharmacies and Drug Stores ; Nursing Care Facilities (Skilled Nursing Facilities),0101000020E61000004322C89CC25457C08445EAE2DB744640,POINT (474395.39294350095 4973332.479626106)
6718,50th and France Redevelopment,Y,4933 - 4951 France Ave S,"Brownfields, Voluntary Investigation and Cleanup","Brownfields, Voluntary Investigation and Cleanup",Investigation and Cleanup,VP11170,,0101000020E61000002973DAF0075557C0B04E9D60E2744640,POINT (474061.4740638643 4973355.82851894)
6719,Ch & Ej Associates Inc,Y,4951 France Ave S,Underground Tanks,Underground Tanks,Tanks,TS0002906,,0101000020E610000030A182C30B5557C0286783A7EB744640,POINT (474043.1840095955 4973387.352574868)
6720,Peterson Edina Mall,Y,4936 France Ave S,"Petroleum Remediation, Leak Site","Petroleum Remediation, Leak Site",Investigation and Cleanup,LS0003647,,0101000020E61000002EDA2D130F5557C000259930F5744640,POINT (474027.36278097855 4973419.74315393)
6721,Aspen Medical Group - France Ave,N,4933 France Ave S Ste 200,Hazardous Waste,Hazardous Waste,Hazardous Waste,MNR000008334,Offices of Physicians (except Mental Health Specialists),0101000020E6100000BF78AB530A5557C0FF4C73E1F6744640,POINT (474050.2608891218 4973425.382449547)
6722,Schram Gerald G Dds,Y,4933 France Ave S Ste LL10,"Hazardous Waste, Very small quantity generator","Hazardous Waste, Very small quantity generator",Hazardous Waste,MNR000002428,Health Services,0101000020E61000008FC0C4C40B5557C06A8D9CE0F6744640,POINT (474043.31472495064 4973425.399487904)
6723,Lake Harriet Church,N,4901 Chowen Ave S,Multiple Activities,"Petroleum Remediation, Leak Site; Underground Tanks",Investigation and Cleanup; Tanks,LS0003905; TS0014553,,0101000020E610000002DAB16CC15457C0214B30E6F8744640,POINT (474401.5093152984 4973430.811931503)
6724,Walgreen's Store 2509,Y,4916 France Ave S,"Hazardous Waste, Very small quantity generator","Hazardous Waste, Very small quantity generator",Hazardous Waste,MND982220295,Pharmacies and Drug Stores,0101000020E6100000F234AA1D0F5557C02FC61BF400754640,POINT (474027.3273824708 4973459.623685746)
6725,Pershing Park Improvements,N,Address Unknown,Construction Stormwater,Construction Stormwater,Stormwater,C00032519,,0101000020E610000054C6BFCFB85457C00C1F115322754640,POINT (474443.56558513443 4973571.080644849)
6726,Lutheran Church of the Good Shepherd,Y,4801 France Ave S,Multiple Activities,Hazardous Waste; Underground Tanks,Hazardous Waste; Tanks,MNS000221937; TS0124310,Religious Organizations,0101000020E61000004D800640015557C0F0A7C64B37754640,POINT (474094.8743210018 4973643.577534943)
6727,Lutheran Church/good Shepherd,Y,4800 Ewing Ave,Underground Tanks,Underground Tanks,Tanks,TS0014316,,0101000020E61000004D800640015557C0F0A7C64B37754640,POINT (474094.8743210018 4973643.577534943)
6728,CenturyLink Communications - Beard CO,Y,4701 Beard Ave S,Multiple Activities,"Hazardous Waste, Minimal quantity generator; Underground Tanks",Hazardous Waste; Tanks,MNS000301392; TS0002846,Wired Telecommunications Carriers,0101000020E610000068B38749BA5457C03DC8FCED7C754640,POINT (474437.6839564052 4973878.266390308)
6729,Southwest Elementary School,Y,3414 W 47th St,Underground Tanks,Underground Tanks,Tanks,TS0002346,,0101000020E6100000BB7ABA5FAA5457C0ACD0F69E80754640,POINT (474514.3938153269 4973890.474641436)
6730,SCHOOL BASED CLINIC - SOUTHWEST HIGH SCHOOL,Y,3414 W 47th St Ste E021,"Hazardous Waste, Very small quantity generator","Hazardous Waste, Very small quantity generator",Hazardous Waste,MNS000319136,Offices of Physicians (except Mental Health Specialists),0101000020E6100000A390C780AA5457C0FA0E7EE280754640,POINT (474513.77543102007 4973891.371356399)
6731,Southwest Secondary School,Y,3414 W 47th St,"Hazardous Waste, Minimal quantity generator","Hazardous Waste, Minimal quantity generator",Hazardous Waste,MND103810537,Educational Services,0101000020E61000003E03EACDA85457C0ED9FA70183754640,POINT (474521.9872814154 4973898.531590879)
6732,Kath Fuel Oil Service,Y,4419 France Ave S,Multiple Activities,"Petroleum Remediation, Leak Site; Underground Tanks",Investigation and Cleanup; Tanks,LS0013975; LS0017148; LS0021693; TS0001750,,0101000020E6100000D7760B0B0B5557C097813594FB754640,POINT (474050.39613936155 4974309.180756555)
6733,"CVS - France/Sunnyside (see Sunnyside Super Valu,",Y,See location description,"Brownfields, Voluntary Investigation and Cleanup","Brownfields, Voluntary Investigation and Cleanup",Investigation and Cleanup,VP24711,,0101000020E61000001C7DCC07045557C0226E4E2503764640,POINT (474084.2804220473 4974334.6958627)
6734,Waxford Square Apartments,Y,218 W 62nd St,Underground Tanks,Underground Tanks,Tanks,TS0014436,,0101000020E6100000B39CDF8B0A5257C059E9A4AD00724640,POINT (477740.2518933122 4970841.115861417)
6735,Wexford Square Apartments,Y,208 62nd St W,"Petroleum Remediation, Leak Site","Petroleum Remediation, Leak Site",Investigation and Cleanup,LS0013035,,0101000020E6100000BBCA2434135257C072570ADC15724640,POINT (477698.77716387436 4970913.066301459)
6736,Minnegasco 325 W 61st Street,N,325 W 61st St,Multiple Activities,Hazardous Waste; Underground Tanks,Hazardous Waste; Tanks,MND980680698; TS0001966,,0101000020E6100000D6DAA09B225257C045FA48A533724640,POINT (477624.88840636495 4971014.301400969)
6737,61ST STREET W LYNDALE AVE TO NICOLLET AVE,Y,,Construction Stormwater,Construction Stormwater,Stormwater,C00049751,,0101000020E610000089EC832C0B5257C01F12BEF737724640,POINT (477737.87969481864 4971028.560286676)
6738,SuperAmerica 4166,N,6000 Portland Ave,Multiple Activities,"Hazardous Waste; Petroleum Remediation, Leak Site",Hazardous Waste; Investigation and Cleanup,LS0017496; MNR000010991,Gasoline Stations with Convenience Stores,0101000020E6100000E048A0C1265157C00E3E833C71724640,POINT (478839.3774683884 4971218.974963771)
6739,Former Mobil Station/state Farm Ins),N,6001 Portland Ave S,Underground Tanks,Underground Tanks,Tanks,TS0013479,,0101000020E610000039D0436D1B5157C042C1D6B672724640,POINT (478893.9949087644 4971223.804874349)
6740,Film Depot,Y,6001 Portland Ave,"Hazardous Waste, Minimal quantity generator","Hazardous Waste, Minimal quantity generator",Hazardous Waste,MN0001025519,,0101000020E6100000F36B35351A5157C0727385D272724640,POINT (478899.87074491405 4971224.152113259)
6741,One Stop Shop,Y,5936 Portland Ave,"Petroleum Remediation, Leak Site","Petroleum Remediation, Leak Site",Investigation and Cleanup,LS0003334,,0101000020E61000005C8FC2F5285157C0CAF2E0B481724640,POINT (478828.94213039865 4971274.844769191)
6742,HONEST-1 AUTO CARE #167,Y,5940 Portland Ave,"Hazardous Waste, Minimal quantity generator","Hazardous Waste, Minimal quantity generator",Hazardous Waste,MN0000341404,"General Automotive Repair ; Automotive Body, Paint, and Interior Repair and Maintenance",0101000020E610000010B633A7265157C094E4147882724640,POINT (478840.0681668873 4971277.393007955)
6743,Mike's Advanced Auto,Y,5936 40 Portland Ave S,Multiple Activities,Aboveground Tanks; Underground Tanks,Tanks,TS0012702,,0101000020E61000004628B682265157C09917169282724640,POINT (478840.75625262543 4971277.735104111)
6744,Mikes Advanced Auto Repair,Y,5936 Portland Ave,Hazardous Waste,Hazardous Waste,Hazardous Waste,MNR000026187,"Automotive Body, Paint, and Interior Repair and Maintenance",0101000020E61000004628B682265157C09917169282724640,POINT (478840.75625262543 4971277.735104111)
6745,jim auto dimond lake,N,5941 Portland Ave,Multiple Activities,"Hazardous Waste, Very small quantity generator; Underground Tanks",Hazardous Waste; Tanks,MNS000315240; TS0020442,General Automotive Repair,0101000020E61000009F0B7E761B5157C0E710829F82724640,POINT (478893.99914786324 4971277.737292226)
6746,Soren & Sorenson Dds Pa,Y,5937 Portland Ave,Hazardous Waste,Hazardous Waste,Hazardous Waste,MNR000008292,Health Services,0101000020E6100000E675C4211B5157C0AB43C93F8E724640,POINT (478895.72416390845 4971317.145058311)
6747,Quan Family Dentistry,Y,5909 Portland Ave,Hazardous Waste,Hazardous Waste,Hazardous Waste,MNR000057687,,0101000020E610000034FF9E0E1A5157C07709F3C3AD724640,POINT (478901.25629136036 4971423.969733141)
6748,Diamond Lake Lutheran Church,Y,5760 Portland Ave S,Underground Tanks,Underground Tanks,Tanks,TS0019777,,0101000020E610000080AAC07F295157C095EAA7A4F3724640,POINT (478827.62293718616 4971661.104367917)
6749,Mount Zion Lutheran Church,Y,5645 Chicago Ave,Multiple Activities,"Hazardous Waste, One time generator; Underground Tanks",Hazardous Waste; Tanks,MNS000342896; TS0011112,Religious Organizations,0101000020E6100000D5873FD4C75057C0F4A0455B3A734640,POINT (479299.07135172567 4971899.288613649)
6750,60th St E Resurface,N,Address Unknown,Construction Stormwater,Construction Stormwater,Stormwater,C00032150,,0101000020E6100000068195438B5057C00A68226C78724640,POINT (479588.8260502216 4971240.905726684)
